make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
INF OAuth providers initialized providers="[google microsoft github]"
INF Starting server addr=:8080
INF http m=GET p=/favicon.png s=200 d=21µs s=444 ip=::1
INF http m=GET p=/api/auth/me s=200 d=132µs s=739 ip=::1
INF http m=GET p=/apple-touch-icon.png s=200 d=25µs s=2597 ip=::1
INF http m=GET p=/api/workspaces/ED36ILK6000/nodes/0/children s=200 d=114µs s=13 ip=::1
INF http m=POST p=/api/auth/switch-workspace s=200 d=264µs s=1021 ip=::1
INF http m=GET p=/api/workspaces/ED36ILK6000/nodes/0/children s=200 d=75µs s=13 ip=::1
INF http m=GET p=/assets/index-Blsr748n.js s=200 d=81µs s=35776 ip=::1
INF http m=POST p=/api/workspaces/ED36ILK6000/nodes/0/page/create s=200 d=12.8ms s=21 ip=::1
INF http m=GET p=/api/workspaces/ED36ILK6000/nodes/0/children s=200 d=180µs s=243 ip=::1
INF http m=GET p=/assets/index-BIONF7eP.css s=200 d=68µs s=14724 ip=::1
INF http m=GET p=/api/workspaces/ED36ILK6000/nodes/ED36ISBG000 s=200 d=183µs s=231 ip=::1
INF http m=GET p=/assets/fr-DMiF1Mxf.js s=200 d=94µs s=11731 ip=::1
INF http m=GET p=/assets/es-K7-K4Bw7.js s=200 d=63µs s=11451 ip=::1
INF http m=GET p=/assets/Editor-B7N0dTt4.js s=200 d=66µs s=21855 ip=::1
INF http m=GET p=/assets/editor-vendor-C907dqzP.js s=200 d=633µs s=326117 ip=::1
INF http m=GET p=/assets/Editor-BLhdKBBR.css s=200 d=52µs s=6925 ip=::1
INF http m=GET p=/assets/de-D1sDn3Ba.js s=200 d=122µs s=11564 ip=::1
INF http m=GET p=/manifest.webmanifest s=200 d=35µs s=455 ip=::1
INF http m=POST p=/api/workspaces/ED36ILK6000/nodes/0/page/create s=200 d=10.6ms s=21 ip=::1
INF http m=GET p=/api/auth/providers s=200 d=33µs s=46 ip=::1
